TABLE_NAME,COLUMN_NAME,DATA_TYPE,DATA_LENGTH
AOMS_ZONE_MAS,NUM_ZONE_WARDID,NUMBER,22
AOMS_ZONE_MAS,VAR_ZONE_CODE,CHAR,3
AOMS_ZONE_MAS,VAR_ZONE_ACTIVEFLAG,CHAR,1
AOMS_ZONE_MAS,DAT_ZONE_INSDT,DATE,7
AOMS_ZONE_MAS,VAR_ZONE_INSBY,VARCHAR2,50
AOMS_ZONE_MAS,DAT_ZONE_UPDT,DATE,7
AOMS_ZONE_MAS,VAR_ZONE_UPDBY,VARCHAR2,50
AOMS_PROPSTATUS_CONFIG,NUM_PROPSTATUS_CONFIGID,NUMBER,22
AOMS_PROPSTATUS_CONFIG,NUM_PROPSTATUS_PROPSTATUSID,NUMBER,22
AOMS_PROPSTATUS_CONFIG,NUM_PROPSTATUS_ULBID,NUMBER,22
AOMS_PROPSTATUS_CONFIG,NUM_PROPSTATUS_FLAG,VARCHAR2,5
AOMS_PROPSTATUS_CONFIG,NUM_PROPSTATUS_INSBY,VARCHAR2,20
AOMS_PROPSTATUS_CONFIG,NUM_PROPSTATUS_INSDATE,DATE,7
AOMS_PROPSTATUS_CONFIG,NUM_PROPSTATUS_UPDBY,VARCHAR2,10
AOMS_PROPSTATUS_CONFIG,NUM_PROPSTATUS_UPDDATE,DATE,7
AOMS_ZONE_MAS_LOG,NUM_ZONE_ID,NUMBER,22
AOMS_ZONE_MAS_LOG,VAR_ZONE_NAME,VARCHAR2,100
AOMS_ZONE_MAS_LOG,NUM_ZONE_WARDID,NUMBER,22
AOMS_ZONE_MAS_LOG,VAR_ZONE_CODE,CHAR,3
AOMS_ZONE_MAS_LOG,VAR_ZONE_ACTIVEFLAG,CHAR,1
AOMS_ZONE_MAS_LOG,DAT_ZONE_INSDT,DATE,7
AOMS_ZONE_MAS_LOG,VAR_ZONE_INSBY,VARCHAR2,50
AOMS_ZONE_MAS_LOG,DAT_ZONE_UPDT,DATE,7
AOMS_ZONE_MAS_LOG,VAR_ZONE_UPDBY,VARCHAR2,50
AOMS_PROPTYPE_MAS,NUM_PROPTYPE_ABMPROPTYPEID,NUMBER,22
AOMS_PROPTYPE_MAS,NUM_PROPTYPE_ID,NUMBER,22
AOMS_PROPTYPE_MAS,VAR_PROPTYPE_NAME,VARCHAR2,100
AOMS_PROPTYPE_MAS,DAT_PROPTYPE_INSDT,DATE,7
AOMS_PROPTYPE_MAS,VAR_PROPTYPE_INSBY,VARCHAR2,50
AOMS_PROPTYPE_MAS,DAT_PROPTYPE_UPDT,DATE,7
AOMS_PROPTYPE_MAS,VAR_PROPTYPE_UPDBY,VARCHAR2,50
AOMS_PROPTYPE_CONFIG,NUM_PROPTYPE_CONFIGID,NUMBER,22
AOMS_PROPTYPE_CONFIG,NUM_PROPTYPE_PROPTYPEID,NUMBER,22
AOMS_PROPTYPE_CONFIG,NUM_PROPTYPE_ULBID,NUMBER,22
AOMS_PROPTYPE_CONFIG,NUM_PROPTYPE_FLAG,VARCHAR2,10
AOMS_PROPTYPE_CONFIG,NUM_PROPTYPE_INSBY,VARCHAR2,10
AOMS_PROPTYPE_CONFIG,NUM_PROPTYPE_INSDATE,DATE,7
AOMS_PROPTYPE_CONFIG,NUM_PROPTYPE_UPDBY,VARCHAR2,10
AOMS_PROPTYPE_CONFIG,NUM_PROPTYPE_UPDDATE,DATE,7
AOMS_TAXNAME_MAS,NUM_TAXNAME_ID,NUMBER,22
AOMS_TAXNAME_MAS,VAR_TAXNAME_ENAME,VARCHAR2,1000
AOMS_TAXNAME_MAS,VAR_TAXNAME_MNAME,VARCHAR2,1000
AOMS_TAXNAME_MAS,VAR_TAXNAME_CODE,VARCHAR2,10
AOMS_TAXNAME_MAS,VAR_TAXNAME_INSBY,VARCHAR2,10
AOMS_TAXNAME_MAS,VAR_TAXNAME_INSDATE,DATE,7
AOMS_TAXNAME_MAS,VAR_TAXNAME_UPDBY,VARCHAR2,10
AOMS_TAXNAME_MAS,VAR_TAXNAME_UPDDATE,DATE,7
AOMS_TAXNAME_MAS_LOG,NUM_TAXNAME_ID,NUMBER,22
AOMS_TAXNAME_MAS_LOG,VAR_TAXNAME_ENAME,VARCHAR2,1000
AOMS_TAXNAME_MAS_LOG,VAR_TAXNAME_MNAME,VARCHAR2,1000
AOMS_TAXNAME_MAS_LOG,VAR_TAXNAME_CODE,VARCHAR2,10
AOMS_TAXNAME_MAS_LOG,VAR_TAXNAME_INSBY,VARCHAR2,10
AOMS_TAXNAME_MAS_LOG,VAR_TAXNAME_INSDATE,DATE,7
AOMS_TAXNAME_MAS_LOG,VAR_TAXNAME_UPDBY,VARCHAR2,10
AOMS_TAXNAME_MAS_LOG,VAR_TAXNAME_UPDDATE,DATE,7
AOMS_BANK_MAS_LOG,NUM_BANK_ID,NUMBER,22
AOMS_BANK_MAS_LOG,NUM_BANK_ULBID,NUMBER,22
AOMS_BANK_MAS_LOG,VAR_BANK_NAME,VARCHAR2,100
AOMS_BANK_MAS_LOG,DAT_BANK_INSDT,DATE,7
AOMS_BANK_MAS_LOG,VAR_BANK_INSBY,VARCHAR2,50
AOMS_BANK_MAS_LOG,DAT_BANK_UPDT,DATE,7
AOMS_BANK_MAS_LOG,VAR_BANK_UPDBY,VARCHAR2,50
AOMS_PROPMENUTRACK_DET,NUM_PROPMENUTRACK_ID,NUMBER,22
AOMS_PROPMENUTRACK_DET,VAR_PROPMENUTRACK_USERID,VARCHAR2,100
AOMS_PROPMENUTRACK_DET,VAR_PROPMENUTRACK_MENUNAME,VARCHAR2,500
AOMS_PROPMENUTRACK_DET,VAR_PROPMENUTRACK_HREF,VARCHAR2,500
AOMS_PROPMENUTRACK_DET,VAR_PROPMENUTRACK_DATE,DATE,7
AOMS_PROPMENUTRACK_DET,VAR_PROPMENUTRACK_IPADDRESS,VARCHAR2,100
AOMS_TAX_MAS,NUM_TAX_ID,NUMBER,22
AOMS_TAX_MAS,VAR_TAX_ENAME,VARCHAR2,1000
AOMS_TAX_MAS,VAR_TAX_MNAME,VARCHAR2,1000
AOMS_TAX_MAS,VAR_TAX_CODE,VARCHAR2,10
AOMS_TAX_MAS,VAR_TAX_INSBY,VARCHAR2,100
AOMS_TAX_MAS,DAT_TAX_INSDATE,DATE,7
AOMS_TAX_MAS,VAR_TAX_UPDBY,VARCHAR2,10
AOMS_TAX_MAS,DAT_TAX_UPDT,DATE,7
AOMS_TAX_MAS,VAR_TAX_OWNER,CHAR,1
AOMS_TAX_MAS,NUM_TAX_APPLYON,NUMBER,22
AOMS_TAX_MAS,NUM_TAX_MINORCODE,NUMBER,22
AOMS_TAX_MAS,NUM_TAX_MAJORCODE,NUMBER,22
AOMS_TAX_MAS,NUM_TAX_CMINORCODE,NUMBER,22
AOMS_TAX_MAS,NUM_TAX_CMAJORCODE,NUMBER,22
AOMS_TAX_MAS_LOG,NUM_TAX_ID,NUMBER,22
AOMS_TAX_MAS_LOG,VAR_TAX_ENAME,VARCHAR2,1000
AOMS_TAX_MAS_LOG,VAR_TAX_MNAME,VARCHAR2,1000
AOMS_TAX_MAS_LOG,VAR_TAX_CODE,VARCHAR2,10
AOMS_TAX_MAS_LOG,VAR_TAX_INSBY,VARCHAR2,10
AOMS_TAX_MAS_LOG,VAR_TAX_INSDATE,DATE,7
AOMS_TAX_MAS_LOG,VAR_TAX_UPDBY,VARCHAR2,10
AOMS_TAX_MAS_LOG,VAR_TAX_UPDDATE,DATE,7
AOMS_TAX_MAS_LOG,VAR_TAX_OWNER,CHAR,1
AOMS_TAX_MAS_LOG,NUM_TAX_APPLYON,NUMBER,22
AOMS_ZONE_MAS_11052021,NUM_ZONE_ID,NUMBER,22
AOMS_ZONE_MAS_11052021,NUM_ZONE_ULBID,NUMBER,22
AOMS_ZONE_MAS_11052021,NUM_ZONE_PRABHAGID,NUMBER,22
AOMS_ZONE_MAS_11052021,VAR_ZONE_NAME,VARCHAR2,100
AOMS_ZONE_MAS_11052021,DAT_ZONE_INSDT,DATE,7
AOMS_ZONE_MAS_11052021,VAR_ZONE_INSBY,VARCHAR2,50
AOMS_ZONE_MAS_11052021,DAT_ZONE_UPDT,DATE,7
AOMS_ZONE_MAS_11052021,VAR_ZONE_UPDBY,VARCHAR2,50
AOMS_WARD_MAS_11052021,NUM_WARD_ID,NUMBER,22
AOMS_WARD_MAS_11052021,NUM_WARD_ULBID,NUMBER,22
AOMS_WARD_MAS_11052021,NUM_WARD_ZONEID,NUMBER,22
AOMS_WARD_MAS_11052021,VAR_WARD_NAME,VARCHAR2,100
AOMS_WARD_MAS_11052021,DAT_WARD_INSDT,DATE,7
AOMS_WARD_MAS_11052021,VAR_WARD_INSBY,VARCHAR2,50
AOMS_WARD_MAS_11052021,DAT_WARD_UPDT,DATE,7
AOMS_WARD_MAS_11052021,VAR_WARD_UPDBY,VARCHAR2,50
AOMS_BLOCK_MAS,NUM_BLOCK_ORDERBY,NUMBER,22
AOMS_BLOCK_MAS,NUM_BLOCK_ID,NUMBER,22
AOMS_BLOCK_MAS,VAR_BLOCK_NAME,VARCHAR2,100
AOMS_BLOCK_MAS,NUM_BLOCK_ZONEID,NUMBER,22
AOMS_BLOCK_MAS,VAR_BLOCK_CODE,CHAR,3
AOMS_BLOCK_MAS,VAR_BLOCK_ACTIVEFLAG,CHAR,1
AOMS_BLOCK_MAS,DAT_BLOCK_INSDT,DATE,7
AOMS_BLOCK_MAS,VAR_BLOCK_INSBY,VARCHAR2,50
AOMS_BLOCK_MAS,DAT_BLOCK_UPDT,DATE,7
AOMS_BLOCK_MAS,VAR_BLOCK_UPDBY,VARCHAR2,50
AOMS_BLOCK_MAS_LOG,NUM_BLOCK_ID,NUMBER,22
AOMS_BLOCK_MAS_LOG,VAR_BLOCK_NAME,VARCHAR2,100
AOMS_BLOCK_MAS_LOG,NUM_BLOCK_ZONEID,NUMBER,22
AOMS_BLOCK_MAS_LOG,VAR_BLOCK_CODE,CHAR,3
AOMS_BLOCK_MAS_LOG,VAR_BLOCK_ACTIVEFLAG,CHAR,1
AOMS_BLOCK_MAS_LOG,DAT_BLOCK_INSDT,DATE,7
AOMS_BLOCK_MAS_LOG,VAR_BLOCK_INSBY,VARCHAR2,50
AOMS_BLOCK_MAS_LOG,DAT_BLOCK_UPDT,DATE,7
AOMS_BLOCK_MAS_LOG,VAR_BLOCK_UPDBY,VARCHAR2,50
AOMS_CONSTTYPECONFIG_MAS,NUM_CONSTTYPECONFIG_ID,NUMBER,22
AOMS_CONSTTYPECONFIG_MAS,NUM_CONSTTYPE_ID,NUMBER,22
AOMS_CONSTTYPECONFIG_MAS,NUM_CONSTTYPECONFIG_ULBID,NUMBER,22
AOMS_CONSTTYPECONFIG_MAS,VAR_CONSTTYPECONFIG_ACTIVEFLAG,VARCHAR2,1
AOMS_CONSTTYPECONFIG_MAS,DAT_CONSTTYPECONFIG_INSDT,DATE,7
AOMS_CONSTTYPECONFIG_MAS,VAR_CONSTTYPECONFIG_INSBY,VARCHAR2,50
AOMS_CONSTTYPECONFIG_MAS,DAT_CONSTTYPECONFIG_UPDT,DATE,7
AOMS_CONSTTYPECONFIG_MAS,VAR_CONSTTYPECONFIG_UPDBY,VARCHAR2,50
AOMS_USAGESUBTYPE_MAS,NUM_USAGESUBTYPE_ABMUSGSUBTYID,NUMBER,22
AOMS_USAGESUBTYPE_MAS,NUM_USAGESUBTYPE_ID,NUMBER,22
AOMS_USAGESUBTYPE_MAS,NUM_USAGESUBTYPE_USAGETYPEID,NUMBER,22
AOMS_USAGESUBTYPE_MAS,VAR_USAGESUBTYPE_NAME,VARCHAR2,100
AOMS_USAGESUBTYPE_MAS,DAT_USAGESUBTYPE_INSDT,DATE,7
AOMS_USAGESUBTYPE_MAS,VAR_USAGESUBTYPE_INSBY,VARCHAR2,50
AOMS_USAGESUBTYPE_MAS,DAT_USAGESUBTYPE_UPDT,DATE,7
AOMS_USAGESUBTYPE_MAS,VAR_USAGESUBTYPE_UPDBY,VARCHAR2,50
AOMS_CONSTTYPECONFIG_MAS_BKP,NUM_CONSTTYPECONFIG_ID,NUMBER,22
AOMS_CONSTTYPECONFIG_MAS_BKP,NUM_CONSTTYPE_ID,NUMBER,22
AOMS_CONSTTYPECONFIG_MAS_BKP,NUM_CONSTTYPECONFIG_ULBID,NUMBER,22
AOMS_CONSTTYPECONFIG_MAS_BKP,VAR_CONSTTYPECONFIG_ACTIVEFLAG,VARCHAR2,1
AOMS_CONSTTYPECONFIG_MAS_BKP,DAT_CONSTTYPECONFIG_INSDT,DATE,7
AOMS_CONSTTYPECONFIG_MAS_BKP,VAR_CONSTTYPECONFIG_INSBY,VARCHAR2,50
AOMS_CONSTTYPECONFIG_MAS_BKP,DAT_CONSTTYPECONFIG_UPDT,DATE,7
AOMS_CONSTTYPECONFIG_MAS_BKP,VAR_CONSTTYPECONFIG_UPDBY,VARCHAR2,50
AOMS_PROPTYPE_CONFIG_BKP,NUM_PROPTYPE_CONFIGID,NUMBER,22
AOMS_PROPTYPE_CONFIG_BKP,NUM_PROPTYPE_PROPTYPEID,NUMBER,22
AOMS_PROPTYPE_CONFIG_BKP,NUM_PROPTYPE_ULBID,NUMBER,22
AOMS_PROPTYPE_CONFIG_BKP,NUM_PROPTYPE_FLAG,VARCHAR2,10
AOMS_PROPTYPE_CONFIG_BKP,NUM_PROPTYPE_INSBY,VARCHAR2,10
AOMS_PROPTYPE_CONFIG_BKP,NUM_PROPTYPE_INSDATE,DATE,7
AOMS_PROPTYPE_CONFIG_BKP,NUM_PROPTYPE_UPDBY,VARCHAR2,10
AOMS_PROPTYPE_CONFIG_BKP,NUM_PROPTYPE_UPDDATE,DATE,7
AOMS_USAGESUBTYPE_CONFIG,NUM_USAGESUBTYPE_NEWUSGTYPE,VARCHAR2,3000
AOMS_USAGESUBTYPE_CONFIG,NUM_USAGESUBTYPE_CONFID,NUMBER,22
AOMS_USAGESUBTYPE_CONFIG,NUM_USAGESUBTYPE_USGTYPEID,NUMBER,22
AOMS_USAGESUBTYPE_CONFIG,NUM_USAGESUBTYPE_USGSUBTYPEID,NUMBER,22
AOMS_USAGESUBTYPE_CONFIG,NUM_USAGESUBTYPE_ULBID,NUMBER,22
AOMS_USAGESUBTYPE_CONFIG,VAR_USAGESUBTYPE_FLAG,VARCHAR2,1
AOMS_USAGESUBTYPE_CONFIG,VAR_USAGESUBTYPE_INSBY,VARCHAR2,10
AOMS_USAGESUBTYPE_CONFIG,DAT_USAGESUBTYPE_INSDATE,DATE,7
AOMS_USAGESUBTYPE_CONFIG,VAR_USAGESUBTYPE_UPDBY,VARCHAR2,10
AOMS_USAGESUBTYPE_CONFIG,DAT_USAGESUBTYPE_UPDDATE,DATE,7
AOMS_PROPLEGALSTATUS_MAS,NUM_PROPLEGSTAT_ID,NUMBER,22
AOMS_PROPLEGALSTATUS_MAS,NUM_PROPLEGSTAT_ULBID,NUMBER,22
AOMS_PROPLEGALSTATUS_MAS,VAR_PROPLEGSTAT_NAME,VARCHAR2,100
AOMS_PROPLEGALSTATUS_MAS,DAT_PROPLEGSTAT_INSDT,DATE,7
AOMS_PROPLEGALSTATUS_MAS,VAR_PROPLEGSTAT_INSBY,VARCHAR2,50
AOMS_PROPLEGALSTATUS_MAS,DAT_PROPLEGSTAT_UPDT,DATE,7
AOMS_PROPLEGALSTATUS_MAS,VAR_PROPLEGSTAT_UPDBY,VARCHAR2,50
AOMS_PROPLEGALSTATUS_MAS,VAR_PROPLEGALSTATUS_CODE,VARCHAR2,10
AOMS_USAGETYPE_CONFIG,VAR_USAGETYPE_CONFIGUSAGETYPE,VARCHAR2,200
AOMS_USAGETYPE_CONFIG,NUM_USAGETYPE_CONFIGID,NUMBER,22
AOMS_USAGETYPE_CONFIG,NUM_USAGETYPE_USAGETYPEID,NUMBER,22
AOMS_USAGETYPE_CONFIG,NUM_USAGETYPE_ULBID,NUMBER,22
AOMS_USAGETYPE_CONFIG,VAR_USAGETYPE_ACTIVEFLG,VARCHAR2,1
AOMS_USAGETYPE_CONFIG,VAR_USAGETYPE_INSBY,VARCHAR2,10
AOMS_USAGETYPE_CONFIG,DAT_USAGETYPE_INSDATE,DATE,7
AOMS_USAGETYPE_CONFIG,VAR_USAGETYPE_UPDBY,VARCHAR2,10
AOMS_USAGETYPE_CONFIG,DAT_USAGETYPE_UPDDATE,DATE,7
AOMS_USAGETYPE_MAS,VAR_USAGETYPE_CODE,VARCHAR2,5
AOMS_USAGETYPE_MAS,NUM_USAGETYPE_ID,NUMBER,22
AOMS_USAGETYPE_MAS,VAR_USAGETYPE_NAME,VARCHAR2,300
AOMS_USAGETYPE_MAS,DAT_USAGETYPE_INSDT,DATE,7
AOMS_USAGETYPE_MAS,VAR_USAGETYPE_INSBY,VARCHAR2,50
AOMS_USAGETYPE_MAS,DAT_USAGETYPE_UPDT,DATE,7
AOMS_USAGETYPE_MAS,VAR_USAGETYPE_UPDBY,VARCHAR2,50
AOMS_USAGETYPE_MAS,NUM_USAGETYPE_ABMUSAGETYPEID,NUMBER,22
AOMS_USAGETYPE_MAS_DEL,VAR_USAGETYPE_CODE,VARCHAR2,5
AOMS_USAGETYPE_MAS_DEL,NUM_USAGETYPE_ID,NUMBER,22
AOMS_USAGETYPE_MAS_DEL,VAR_USAGETYPE_NAME,VARCHAR2,100
AOMS_USAGETYPE_MAS_DEL,DAT_USAGETYPE_INSDT,DATE,7
AOMS_USAGETYPE_MAS_DEL,VAR_USAGETYPE_INSBY,VARCHAR2,50
AOMS_USAGETYPE_MAS_DEL,DAT_USAGETYPE_UPDT,DATE,7
AOMS_USAGETYPE_MAS_DEL,VAR_USAGETYPE_UPDBY,VARCHAR2,50
AOMS_DISCOUNT_MAS_LOG,NUM_DISCOUNT_ID,NUMBER,22
AOMS_DISCOUNT_MAS_LOG,VAR_DISCOUNT_NAME,VARCHAR2,100
AOMS_DISCOUNT_MAS_LOG,NUM_DISCOUN_DISCTYPEID,NUMBER,22
AOMS_DISCOUNT_MAS_LOG,NUM_DISCOUNT_DISCDDEPENDID,NUMBER,22
AOMS_DISCOUNT_MAS_LOG,DAT_DISCOUNT_INSDT,DATE,7
AOMS_DISCOUNT_MAS_LOG,VAR_DISCOUNT_INSBY,VARCHAR2,50
AOMS_DISCOUNT_MAS_LOG,DAT_DISCOUNT_UPDT,DATE,7
AOMS_DISCOUNT_MAS_LOG,VAR_DISCOUNT_UPDBY,VARCHAR2,50
AOMS_DISCOUNT_MAS_LOG,VAR_DISCOUNT_DELBY,VARCHAR2,100
AOMS_DISCOUNT_MAS_LOG,DAT_DISCOUNT_DELDATE,DATE,7
AOMS_DOCUMENT_MAS,VAR_DOCUMENT_ACTIVEFLAG,VARCHAR2,1
AOMS_DOCUMENT_MAS,NUM_DOCUMENT_ID,NUMBER,22
AOMS_DOCUMENT_MAS,VAR_DOCUMENT_ENAME,VARCHAR2,50
AOMS_DOCUMENT_MAS,VAR_DOCUMENT_MNAME,VARCHAR2,100
AOMS_DOCUMENT_MAS,VAR_DOCUMENT_INSBY,VARCHAR2,20
AOMS_DOCUMENT_MAS,DAT_DOCUMENT_INSDATE,DATE,7
AOMS_DOCUMENT_MAS,VAR_DOCUMENT_UPDTBY,VARCHAR2,20
AOMS_DOCUMENT_MAS,DAT_DOCUMENT_UPDT,DATE,7
AOMS_PROPMODTYPE_MAS,VAR_PROPMODTYPE_MFIELD,VARCHAR2,50
AOMS_PROPMODTYPE_MAS,NUM_PROPMODTYPE_ID,NUMBER,22
AOMS_PROPMODTYPE_MAS,VAR_PROPMODTYPE_FIELD,VARCHAR2,20
AOMS_PROPMODTYPE_MAS,VAR_PROPMODTYPE_CODE,VARCHAR2,2
AOMS_PROPMODTYPE_MAS,VAR_DEPT_INSBY,VARCHAR2,20
AOMS_PROPMODTYPE_MAS,DAT_DEPT_INSDT,DATE,7
AOMS_PROPMODTYPE_MAS,VAR_DEPT_UPDBY,VARCHAR2,20
AOMS_PROPMODTYPE_MAS,DAT_DEPT_UPDT,DATE,7
AOMS_SPLTAXNAMECONFIG_MAS,NUM_SPLTAXNAME_ID,NUMBER,22
AOMS_SPLTAXNAMECONFIG_MAS,VAR_SPLTAX_NAME,VARCHAR2,250
AOMS_SPLTAXNAMECONFIG_MAS,NUM_SPLTAXNAME_ULBID,NUMBER,22
AOMS_SPLTAXNAMECONFIG_MAS,VAR_SPLTAX_CODE,VARCHAR2,10
AOMS_SPLTAXNAMECONFIG_MAS,VAR_ACTIVEFLAG,VARCHAR2,1
AOMS_SPLTAXNAMECONFIG_MAS,VAR_INSBY,VARCHAR2,30
AOMS_SPLTAXNAMECONFIG_MAS,DT_INSDATE,DATE,7
AOMS_BANK_CONFIG,NUM_BANK_CONFIGID,NUMBER,22
AOMS_BANK_CONFIG,NUM_BANK_BANKID,NUMBER,22
AOMS_BANK_CONFIG,NUM_BANK_ULBID,NUMBER,22
AOMS_BANK_CONFIG,VAR_BANK_FLAG,VARCHAR2,1
AOMS_BANK_CONFIG,VAR_BANK_INSBY,VARCHAR2,10
AOMS_BANK_CONFIG,NUM_BANK_INSDATE,DATE,7
AOMS_BANK_CONFIG,NUM_BANK_UPDBY,VARCHAR2,10
AOMS_BANK_CONFIG,NUM_BANK_UPDDATE,DATE,7
AOMS_PROPAUTH_MAS,VAR_PROPAUTH_PROPSOURCE,VARCHAR2,1
AOMS_PROPAUTH_MAS,NUM_PROPAUTH_RESRV,NUMBER,22
AOMS_PROPAUTH_MAS,NUM_PROPAUTH_NONRESRV,NUMBER,22
AOMS_PROPAUTH_MAS,DAT_PROPAUTH_FROMDT,DATE,7
AOMS_PROPAUTH_MAS,DAT_PROPAUTH_TODT,DATE,7
AOMS_PROPAUTH_MAS,NUM_PROPAUTH_BALTAX,NUMBER,22
AOMS_PROPAUTH_MAS,NUM_PROPAUTH_DEMANDAMT,NUMBER,22
